price,area,bhk,bathroom
6698999.999999999,1155,3,1.0
4988000.0,860,2,1.0
4611000.0,795,2,1.0
4888000.0,873,2,1.0
7448000.0,1330,3,1.0
7448000.0,1330,3,1.0
6339000.0,1132,3,1.0
6339000.0,1132,3,1.0
7284999.999999999,1301,3,1.0
7284999.999999999,1301,3,1.0
6698999.999999999,1155,3,1.0
4611000.0,795,2,1.0
4988000.0,860,2,1.0
6698999.999999999,1155,3,1.0
4611000.0,795,2,1.0
6698999.999999999,1155,3,1.0
4988000.0,860,2,1.0
4611000.0,795,2,1.0
6762000.0,1166,3,1.0
4988000.0,860,2,1.0
6762000.0,1166,3,1.0
6055000.0,1044,3,1.0
6055000.0,1044,3,1.0
4228000.0,729,2,1.0
6055000.0,1044,3,1.0
4228000.0,729,2,1.0
4228000.0,729,2,1.0
7702000.0,1328,3,1.0
7702000.0,1328,3,1.0
5759000.0,993,3,1.0
5759000.0,993,3,1.0
6188000.0,1067,3,1.0
6188000.0,1067,3,1.0
4727000.0,815,2,1.0
4727000.0,815,2,1.0
9265000.0,1287,3,1.0
7809999.999999999,1085,3,3.0
7393000.000000001,1027,2,1.0
6990000.000000001,971,2,1.0
6954000.000000001,966,2,1.0
7105000.0,1579,3,3.0
11500000.0,2388,4,1.0
7101000.000000001,1578,3,1.0
6237000.0,1386,3,1.0
7051000.000000001,1567,3,1.0
2800000.0,561,2,1.0
1600000.0,319,1,1.0
3000000.0,576,2,1.0
1536000.0,300,1,1.0
4784000.0,957,2,1.0
4784000.0,957,2,1.0
4599000.0,920,2,1.0
4599000.0,920,2,1.0
4784000.0,957,2,1.0
4784000.0,957,2,1.0
4559000.0,912,2,1.0
4559000.0,912,2,1.0
4879000.0,976,2,1.0
4879000.0,976,2,1.0
4624000.0,925,2,1.0
4624000.0,925,2,1.0
4864000.0,885,2,1.0
7423000.0,1415,3,1.0
4888000.0,890,2,1.0
4743000.0,860,2,1.0
4695000.0,850,2,1.0
4767000.0,865,2,1.0
7351000.000000001,1400,3,1.0
13800000.0,2525,4,1.0
7506999.999999999,1365,2,1.0
6886000.0,1252,2,1.0
10100000.0,1847,3,1.0
7458000.0,1356,2,1.0
13200000.0,2418,3,1.0
